fullname,full_address,gpt-response
"Key Laboratory of Mechanics on Western Disaster and Environment, Ministry of Education",China,Lanzhou University
"Key Laboratory of Clusters Science of the Ministry of Education, School of Chemistry and Chemical Engineering, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Lab of Pollution Control and Ecosystem Restoration in Industry Clusters, Ministry of Education","Guangzhou 510006, China",South China University of Technology
"Key Laboratory of Photoelectronic Imaging Technology and System of Ministry of Education of China, School of Optoelectronics, Beijing Institute of Technology","Beijing 100081, China",Beijing Institute of Technology
"Key Laboratory for Reproductive Endocrinology, Shandong Provincial Key Laboratory of Reproductive Medicine, Ministry of Education","Jinan, China",Shandong University
"Key Laboratory of Advanced Control of Iron and Steel Process, Ministry of Education","Beijing 100083, China",University of Science and Technology Beijing
"College of Otolaryngology Head and Neck Surgery, Chinese PLA General Hospital, Chinese PLA Medical School / National Clinical Research Center for Otolaryngologic Diseases / State Key Lab of Hearing Science, Ministry of Education / Beijing Key Lab of Hearing Impairment Prevention and Treatment","Beijing, 100853, China",Chinese PLA Medical School
"Key Laboratory of Food Nutrition and Safety, Ministry of Education, Faculty of Food Engineering and Biotechnology","Tianjin, 300457, China",Tianjin University
"Key Laboratory of Dynamics and Control of Flight Vehicle, Ministry of Education, School of Aerospace Engineering, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Engineering Research Center of Nuclear Technology Application, Ministry of Education, East China Institute of Technology","Nanchang, 330013, China",East China Institute of Technology
"Engineering Research Center for Waste Oil Recovery Technology and Equipment, Ministry of Education","Chongqing, 400067, China",Chongqing University
"The Key Laboratory of Myocardial Ischemia Organization, Chinese Ministry of Education","Harbin, China",Harbin Medical University
"Key Laboratory of System Control and Information Processing, Ministry of Education of China",China,Shanghai Jiao Tong University
"Key Lab of Submarine Geosciences and Prospecting Techniques, Ministry of Education","Qingdao, China",Ocean University of China
"Engineering Research Center of Intelligent Technology for Geo-Exploration, Ministry of Education","Wuhan, 430074, China",China University of Geosciences
"Key Laboratory of Medicinal Chemistry for Nature Resource, Ministry of Education, School of Chemical Science and Technology","Kunming, 650091, China",Yunnan University
"Engineering Research Center of Building Equipment, Energy, and Environment, Ministry of Education","Beijing, China",Unknown
"Dept. of Burns and Plastic Surgery, Children's Hosp. of Chongqing Medical Univ. and Ministry of Education, Key Lab. of Child Development and Disorders","Chongqing, China",Chongqing Medical University
"Engineering Research Center of Intelligent PSE, Ministry of Education of China","Beijing, 100029, China",Unknown
"Joint International Research Laboratory of Ecological Pest Control, Ministry of Education","Fuzhou, China",Fujian Agriculture and Forestry University
"Key Laboratory of Western Mines and Hazards Prevention, Ministry of Education of China","Xi'an, 710054, China",Xi'an University of Science and Technology
Key Laboratory of Disaster Prevention and Engineering Safety of Ministry of Education,"Nanning, 530004, China",Guangxi University
Key Laboratory of Oasis Ecology of Education Ministry,"Urumqi, 830017, China",Xinjiang University
Heilongjiang university of Chinese medicine,"Key Laboratory of Basic and Applied Research in North Medicine, Ministry of Education, Heilongjiang Key Laboratory of Drug Study Material of Traditional Chinese Medicine and Natural Product, Harbin 150040, China",Heilongjiang University of Chinese Medicine
"Center of Growth, Metabolism and Aging, Key Laboratory of Biological Resources and Ecological Environment of Ministry of Education, College of Life Sciences","Chengdu, 610065, China",Unknown
"Key Laboratory of Advanced Displays and System Application, Ministry of Education","Shanghai 200072, China",Unknown
Key Laboratory of In-situ Property-improving Mining of Ministry of Education,"Taiyuan, 030024, Shanxi, China",Taiyuan University of Technology
"Key Laboratory of Environment and Genes Related to Diseases (Xi'an Jiaotong Univ.), Ministry of Education",China,Xi'an Jiaotong University
"Engineering Research Center for Biomass Materials, Ministry of Education","Mianyang, Sichuan, China",Unknown
"Key Laboratory of Neuroscience, The Ministry of Education and the Ministry of Health","Beijing 100191, 38 Xueyuan Road, China",Peking University
"Key Laboratory of Microsystems and Microstructures Manufacturing, Ministry of Education, Harbin Institute of Technology","Harbin, 150001, China",Harbin Institute of Technology
"Key Laboratory of Resource Biology and Biotechnology in Western China (Ministry of Education), Provincial Key Laboratory of Biotechnology of Shaanxi","Xi'an, Shaanxi, China",Shaanxi Normal University
"Key Laboratory of Industrial Internet of Things and Networked Control, Ministry of Education","Chongqing, 400065, China",Chongqing University
"Key Laboratory of Cluster Science, Ministry of Education of China, Beijing Key Laboratory of Photoelectronic/Electrophotonic Conversion Materials, School of Chemistry, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
Engineering Research Center for Transportation Safety (Ministry of Education),"Wuhan, China",Unknown
"Key Laboratory of Virology, Ministry of Education, Life Sci.'s Coll. of Wuhan Univ.","Wuhan 430072, China",Wuhan University
"Key Laboratory of Marine Chemistry Theory and Technology, Ministry of Education",China,Ocean University of China
"Department of Hematology, First Affiliated Hospital, Key Laboratory for Regenerative Medicine of Ministry of Education","Guangzhou, China",Unknown
"Key Laboratory of Trans-scale Laser Manufacturing Technology, Ministry of Education","100124, China",Unknown
"Key Laboratory of Mechanics on Disaster and Environment in Western China, Ministry of Education",China,Lanzhou University
"The Key Lab. of Indust. Biotech., Ministry of Education, Sch. Biotech., S. Yangtze Univ., W.",China,Yangtze University
"Key Laboratory for Special Area Highway Engineering, Ministry of Education, Chang'An Univ.","Xi'an, 710064, China",Chang'an University
"Key Laboratory for Road, Traffic Engineering of Ministry of Education","Shanghai, 200092, China",Tongji University
"Key Laboratory of Biometallurgy, Ministry of Education","Changsha, Hunan, 410083, China",Central South University
"W. Engineering Research Center of Disaster Mitigation in Civil Engineering of Ministry of Education, Lanzhou Univ. of Technology","Lanzhou, 730050, China",Lanzhou University of Technology
"Key Laboratory of Image Processing and Intelligent Control, Ministry of Education","Wuhan, 430074, China",Huazhong University of Science and Technology
Engineering Research Center of Ministry of Education on High Power Solid Lighting Application System,"Tianjin, 300387, China",Tianjin University
Key Laboratory of Concrete and Prestressed Concrete Structures of Ministry of Education,"Nanjing, 211189, China",Southeast University
"Key Laboratory of Eco-chemical Engineering, Ministry of Education, College of Chemistry and Molecular Engineering","Qingdao, 266042, China",Qingdao University
"Key Laboratory of Microsystems and Microstructures Manufacturing, Ministry of Education, Harbin Institute of Technology","Harbin, 150080, China",Harbin Institute of Technology
"Key Lab. of Efficient Irrigation-Drainage and Agricult. Soil-Water Env. in Southern China, Ministry of Education","Nanjing 210098, China",Nanjing Agricultural University
"Engineering Research Centre of Intelligent PSE, Ministry of Education in China","Beijing, China",Unknown
"Key Laboratory of Grassland Resources, Ministry of Education",China,Unknown
"Key Laboratory of Process Optimization and Intelligent Decision Making, Ministry of Education","Hefei, 230009, Anhui, China",Unknown
"Neurodegenerative Lab, Ministry of Education of the People's Republic of China","Beijing, 100053, China",Unknown
"Key Laboratory of Nuclear Resources and Environment, Ministry of Education, East China Institute of Technology","Nanchang 330013, China",East China Institute of Technology
"Key Laboratory of Theory and Therapy of Muscles and Bones, Ministry of Education","Shanghai, China",Shanghai University of Traditional Chinese Medicine
"Key Laboratory of Mechanics on Disaster and Environment in Western China, The Ministry of Education of China","Lanzhou, China",Lanzhou University
"Department of Applied Chemistry, Key Laboratory of Medicinal Chemistry for Natural Resource, Ministry of Education","Kunming, Yunnan 650091, 2 Cuihu BeiLu Road, China",Kunming University
"Key Laboratory of Cluster Science, Ministry of Education of China, School of Chemistry and Chemical Engineering, Beijing Institute of Technology","Beijing, 100081, China",Beijing Institute of Technology
"Key Laboratory of Coalbed Methane Resources and Reservoir Formation History, Ministry of Education","Xuzhou Jiangsu 221116, China",China University of Mining and Technology
"Key Laboratory of Radar Imaging and Microwave Photonics, (Nanjing Univ. Aeronaut. Astronaut.), Ministry of Education","Nanjing, 211106, China",Nanjing University of Aeronautics and Astronautics
"The Key Laboratory of Functional Polymer Materials, Ministry Education, Institute of Polymer Chemistry","Tianjin, 300071, 94# Weijin Road, China",Tianjin University
"Department of Chemistry, School of Science, Ministry of Education","Beijing 100081, 5 South Street of Zhongguanchun, China",Unknown
